id,rfp_id:id,product_id:id,description,product_qty,unit_price,delivery_charge
line_1,rfp_1,product.product_product_5,Corner Desk Right Sit,5,145,170
line_2,rfp_1,product.product_product_6,Large Cabinet,3,310,250
line_3,rfp_1,product.product_product_7,Storage Box,10,15.5,40
line_4,rfp_2,product.product_product_8,Large Desk,2,1100,90
line_5,rfp_2,product.product_product_9,Pedal Bin,15,90,40
line_6,rfp_3,product.product_product_10,Cabinet with Doors,4,115,80
line_7,rfp_3,product.product_product_12,Office Chair Black,6,140,100
line_8,rfp_4,product.product_product_13,Corner Desk Left Sit,5,140,160
line_9,rfp_4,product.product_product_20,Flipover,1,1500,180
line_10,rfp_5,product.product_product_22,Desk Stand with Screen,2,2050,95
line_11,rfp_5,product.product_product_24,Individual Workplace,3,880,45
line_12,rfp_6,product.product_product_25,Acoustic Bloc Screens,4,287,40
line_13,rfp_6,product.product_product_27,Drawer,5,100,20
line_14,rfp_7,product.consu_delivery_03,Four Person Desk,1,0,0
line_15,rfp_7,product.consu_delivery_02,Large Meeting Table,1,0,0
line_16,rfp_8,product.consu_delivery_01,Three-Seat Sofa,2,0,0
line_17,rfp_8,product.product_product_5,Corner Desk Right Sit,5,0,0
line_18,rfp_9,product.product_product_6,Large Cabinet,3,0,0
line_19,rfp_9,product.product_product_7,Storage Box,10,0,0
line_20,rfp_10,product.product_product_8,Large Desk,2,0,0
line_21,rfp_10,product.product_product_9,Pedal Bin,15,0,0
line_22,rfp_11,product.product_product_10,Cabinet with Doors,4,0,0
line_23,rfp_11,product.product_product_12,Office Chair Black,6,0,0
line_24,rfp_12,product.product_product_13,Corner Desk Left Sit,5,0,0
line_25,rfp_12,product.product_product_20,Flipover,1,0,0
line_26,rfp_13,product.product_product_24,Individual Workplace,3,0,0
line_27,rfp_13,product.product_product_25,Acoustic Bloc Screens,4,0,0
line_28,rfp_14,product.product_product_27,Drawer,5,0,0
line_29,rfp_14,product.product_product_5,Corner Desk Right Sit,5,0,0
line_30,rfp_15,product.consu_delivery_03,Four Person Desk,4,0,0
line_31,rfp_15,product.consu_delivery_02,Large Meeting Table,2,0,0
line_32,rfp_16,product_server_x1,Server X1,100,4899,210
line_33,rfp_16,product_workstation_z5,Workstation Z5,200,2450,100
line_34,rfp_16,product_gpu_rtx_5090,GPU RTX 5090,350,1750,100